MODEL,SCENARIO,REGION,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
IIASA GDP,SSP1_v9_130219,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,ARG,,,,,,,,,,,,,12108.17626876827,14444.632165886582,17277.94208432873,19868.468432964357,22289.947740009065,24928.093886025803,27828.181564363582,30830.33591853479,33730.813711604394,36659.43233510941,39766.52614850296,43113.08699429389,46715.746299478524,50544.145668808495,54558.442715490346,58797.03020989607,63215.37667061153,67769.93070061423,72452.00709375396,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,ARM,,,,,,,,,,,,,5158.235924651812,8573.999106043992,13195.36897568864,19187.93049962708,24398.063846171477,27876.094025518436,29931.97898490478,31294.03420591793,32589.657698853658,34181.92651692931,36199.65119636179,38611.040970820686,41442.36887592176,44724.53424067364,48409.66858446442,52369.17598539165,56421.07425643718,60633.78204131627,65117.46204801095,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,AUS,,,,,,,,,,,,,39422.837461823656,46400.219947701145,52434.7956032829,59098.44837622291,65462.31113987358,71323.62648050004,76566.64921294595,81272.48508898608,85532.99731058661,89593.47537088799,93631.75534760459,97869.18922506543,102199.93232654885,106523.56727296354,110987.19176189453,115684.53107140743,120519.10263916345,125498.11546044218,130754.27057826024,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,AUT,,,,,,,,,,,,,36595.41263597066,38472.47912305603,39336.74192918757,40308.51006165715,41799.58045049697,43813.24899955897,46288.47491806493,49081.5057390047,52102.602435201814,55329.065297886686,58752.73665424295,62413.286878906365,66261.93247497815,70217.1172576697,74388.95684653902,79000.32839993652,83920.5895605938,89131.12506884072,94699.646718582,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,AZE,,,,,,,,,,,,,8625.380100466298,19321.776617891228,28554.107873675155,31976.698105375093,33090.181049730076,33677.59155746485,34952.96920233452,36887.58756883901,39381.93732818986,41907.65783094725,44521.64712422764,46612.70184134997,48247.16720054287,49520.542193716174,50659.71392093832,52130.81726308462,54190.584642344584,56889.81546068065,60215.57570126648,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BDI,,,,,,,,,,,,,417.6331054249954,439.5827123324156,560.5805902475125,715.6471016148375,884.1239401893309,1071.838825217059,1290.0303711381412,1559.3706050693268,1920.0144495791042,2412.4969385471218,3083.717678806601,3966.7630917589745,5068.9683422757635,6358.734489473654,7796.352358147017,9348.383513913914,11005.81295458942,13047.383375486575,15424.639725514922,,,,,,,,,,
