hierid,period,abv-23,abv-22,abv-21,abv-20,abv-19,abv-18,abv-17,abv-16,abv-15,abv-14,abv-13,abv-12,abv-11,abv-10,abv-9,abv-8,abv-7,abv-6,abv-5,abv-4,abv-3,abv-2,abv-1,abv0,abv1,abv2,abv3,abv4,abv5,abv6,abv7,abv8,abv9,abv10,abv11,abv12,abv13,abv14,abv15,abv16,abv17,abv18,abv19,abv20,abv21,abv22,abv23,abv24,abv25,abv26,abv27,abv28,abv29,abv30,abv31,abv32,abv33,abv34,abv35,abv36,abv37,abv38,abv39,abv40,abv41,abv42
USA.10.367,historical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,11,19,47,49,70,69,97,148,177,228,248,277,255,251,298,409,605,318,57,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA.10.367,latercp85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,14,19,34,35,66,113,126,205,253,267,268,272,305,357,405,592,243,49,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH.8.39.Rce1a51acb321322b,historical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,165,556,932,912,539,221,121,88,53,25,10,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH.8.39.Rce1a51acb321322b,latercp85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,132,547,965,795,414,296,188,146,72,28,21,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS.11.1392,historical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,13,46,94,131,180,220,235,213,201,352,422,514,519,366,133,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS.11.1392,latercp85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,40,51,125,194,221,273,289,391,448,424,480,471,193,25,3,4,1,0.0,0.0
AGO.11.94,historical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,29,279,319,230,306,392,604,724,669,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO.11.94,latercp85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,105,56,275,181,125,314,329,410,829,905,116,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMN.8,historical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,14,51,140,246,255,199,161,174,179,145,122,197,261,316,376,367,274,150,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMN.8,latercp85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,22,67,140,202,292,204,157,137,156,160,197,207,218,236,258,266,348,284,78,4,0.0,0.0,0.0
ARE.1,historical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,50,91,155,236,234,152,175,168,143,142,161,125,167,144,164,197,381,424,292,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE.1,latercp85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,13,45,99,148,227,237,150,177,109,104,141,135,170,154,102,155,154,262,336,376,278,65,2,0.0
USA.27.1625,historical,0,3,3,4,1,5,8,6,8,7,8,9,17,16,28,26,40,39,38,52,60,94,82,243,130,142,150,141,175,152,138,120,128,107,119,137,122,136,130,123,144,134,116,100,63,68,45,22,6,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA.27.1625,latercp85,0,0,0,0,0,0,1,0,0,5,5,11,18,21,20,21,20,30,32,33,40,37,69,135,97,118,102,150,110,115,126,135,125,121,108,92,94,103,102,125,109,101,93,95,78,105,112,120,103,108,100,67,72,36,13,13,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
